station_name,date,value,quality
Upavaon Shallow,2023-09-26T13:53:00,90.78,Good
Pipstile Farm Uphampton,2023-09-27T11:36:00,61.17,Unchecked
Mayhouse Farm,2023-09-28T07:32:00,34.42,Unchecked
Cundall Sandstone,2023-09-28T11:09:00,16.35,Good
Kemps Drift,2023-09-29T09:45:00,11.255,Good
Rats Pen Lane Chalk,2023-10-02T05:34:00,7.5,Good
Sutton Heath Road,2023-10-02T11:28:00,18.74,Good
Sutton Top Field Spinney,2023-10-02T11:45:00,14.81,Good
Pickworth,2023-10-03T10:22:00,23.21,Good
Walcot,2023-10-04T08:08:00,14.31,Good
Ponyfield,2023-10-04T09:14:00,-2.56,Good
Bessacar,2023-10-04T10:27:00,4.1,Good
Thames Head,2023-10-05T08:52:00,99.68,Good
Blowing Stone Cottage,2023-10-06T07:59:00,110.84,Good
Tollgate,2023-10-06T09:03:00,9.57,Good
Sproxton,2023-10-06T09:16:00,44.852,Good
Plucks Gutter,2023-10-06T09:29:00,0.88,Good
Old Mill Farm T,2023-10-06T10:10:00,12.62,Good
Old Mill Farm B,2023-10-06T10:14:00,12.467,Good
Wested Farm,2023-10-09T08:50:00,41.46,Good
Chalton,2023-10-10T09:00:00,37.49,Good
Lynstead,2023-10-10T10:26:00,18.503,Good
Caldecote Farm,2023-10-10T10:27:00,7.195,Good
Cockley Cley Copse,2023-10-10T11:08:00,20.29,Good
Crudwell,2023-10-11T09:14:00,84.18,Good
Pipstile Farm Uphampton,2023-10-16T08:17:00,60.96,Unchecked
Winchester Guildhall,2023-10-16T09:07:00,35.7,Good
Itteringham 2,2023-10-16T12:34:00,30.55,Good
Old Hall,2023-10-16T12:36:00,37.99,Good
Woore,2023-10-17T08:56:00,136.285,Good
Rowton,2023-10-17T09:38:00,58.06,Unchecked
Wood Mill Farm,2023-10-17T10:04:00,60.07,Unchecked
Wood Mill Farm,2023-10-17T10:12:00,63.08,Unchecked
Amotherby,2023-10-17T10:56:00,16.35,Good
Pipe Green,2023-10-17T11:34:00,81.09,Good
Slough Farm,2023-10-19T08:25:00,1.85,Good
Hungerdowns Farm,2023-10-19T08:44:00,32.4,Good
Ingleby,2023-10-19T09:01:00,45.83,Good
Mayhouse Farm,2023-10-19T11:44:00,35.89,Unchecked
Black Hall Farm,2023-10-20T06:34:00,105.21,Good
East Leake,2023-10-20T09:09:00,28.56,Good
Hornsea,2023-10-20T12:12:00,16.43,Good
Upavon Deep,2023-10-20T12:36:00,90.81,Good
Upavaon Shallow,2023-10-20T12:39:00,90.63,Good
Frome,2023-10-23T09:54:00,56.14,Good
Royalty Farm,2023-10-23T10:02:00,43.61,Good
Lydeards Hill,2023-10-23T12:52:00,321.56,Good
Whitworth Hall,2023-10-23T13:22:00,54.74,Good
Warnford Estate,2023-10-24T10:33:00,67.95,Good
Myddlewood,2023-10-25T10:15:00,61.19,Good
Kemps Drift,2023-10-25T11:20:00,11.33,Good
Cocker Bridge,2023-10-25T12:00:00,5.23,Good
Blackmore Farm,2023-10-25T12:10:00,95.59,Good
Wrelton Paddock,2023-10-26T11:22:00,30.3,Good
Hambleton,2023-10-26T12:06:00,5.41,Good
Sherburn Quarry 3,2023-10-26T13:12:00,17.458,Good
West Cowick,2023-10-27T08:51:00,5.771,Good
Brislands Lane,2023-10-27T14:55:00,84.01,Good
Bessacar,2023-11-02T07:29:00,3.47,Good
Walcot,2023-11-02T08:56:00,20.16,Good
Ponyfield,2023-11-03T07:29:00,-2.42,Good
Crudwell,2023-11-03T11:58:00,91.8,Good
Old Mill Farm B,2023-11-03T11:59:00,12.437,Good
Old Mill Farm T,2023-11-03T12:07:00,13.2,Good
Tollgate,2023-11-03T12:10:00,10.77,Good
Lynstead,2023-11-06T08:22:00,18.243,Good
Thames Head,2023-11-06T10:01:00,101.98,Good
Plucks Gutter,2023-11-06T11:30:00,1.35,Good
Trowley Bottom Farm,2023-11-06T11:51:00,107.09,Good
Sutton Heath Road,2023-11-07T09:27:00,19.31,Good
Sutton Top Field Spinney,2023-11-07T09:29:00,18.34,Good
Pickworth,2023-11-07T11:11:00,32.93,Good
Rats Pen Lane Chalk,2023-11-08T07:14:00,7.74,Good
Spoondell,2023-11-08T09:23:00,129.85,Good
Wested Farm,2023-11-08T09:45:00,43.16,Good
Chalton,2023-11-10T09:00:00,55.17,Good
Slough Farm,2023-11-16T10:32:00,1.97,Good
Blowing Stone Cottage,2023-11-16T10:48:00,119.36,Good
Hungerdowns Farm,2023-11-16T11:00:00,32.72,Good
Pipstile Farm Uphampton,2023-11-20T08:36:00,61.49,Unchecked
West Cowick,2023-11-20T10:03:00,5.916,Good
Mayhouse Farm,2023-11-20T12:15:00,36.63,Unchecked
Black Hall Farm,2023-11-21T08:03:00,105.79,Good
Whitworth Hall,2023-11-21T08:53:00,54.85,Good
Ingleby,2023-11-21T09:55:00,45.83,Good
Frome,2023-11-21T10:14:00,56.97,Good
Upavaon Shallow,2023-11-21T11:06:00,91.16,Good
Upavon Deep,2023-11-21T11:11:00,91.47,Good
Winchester Guildhall,2023-11-21T12:00:00,33.83,Good
Old Hall,2023-11-21T12:24:00,39.78,Good
Pipe Green,2023-11-21T13:14:00,80.57,Good
Lydeards Hill,2023-11-23T09:44:00,326.85,Good
Amotherby,2023-11-23T11:32:00,20.38,Good
Sherburn Quarry 3,2023-11-23T12:28:00,17.608,Good
Wrelton Paddock,2023-11-23T13:25:00,33.27,Good
North Stoke,2023-11-24T09:50:00,9.538,Good
Jackaments Bottom,2023-11-27T11:54:00,104.06,Good
Hornsea,2023-11-27T12:30:00,17.23,Good
Woore,2023-11-28T09:25:00,136.255,Good
Beenham,2023-11-28T13:11:00,52.985,Good
Kemps Drift,2023-11-30T09:53:00,11.4,Good
Myddlewood,2023-11-30T10:15:00,60.92,Good
Bessacar,2023-12-01T07:51:00,3.21,Good
Ponyfield,2023-12-01T08:55:00,-2.42,Good
Walcot,2023-12-01T09:18:00,17.94,Good
Grange Farm West Wratting,2023-12-01T13:53:00,64.41,Good
Plucks Gutter,2023-12-04T08:35:00,1.59,Good
Pickworth,2023-12-04T10:22:00,31.58,Good
Tollgate,2023-12-04T11:41:00,10.45,Good
Rats Pen Lane Chalk,2023-12-06T07:26:00,7.87,Good
Lynstead,2023-12-06T07:44:00,18.223,Good
East Leake,2023-12-06T08:43:00,29.77,Good
Bowbridge,2023-12-07T10:54:00,82.89,Good
Aughton Cliffs Farm,2023-12-11T11:02:00,17.77,Good
Wrelton Paddock,2023-12-11T11:59:00,34.97,Good
Sutton Heath Road,2023-12-11T14:45:00,20.29,Good
Sutton Top Field Spinney,2023-12-11T14:46:00,19.37,Good
Wested Farm,2023-12-12T09:05:00,43.23,Good
Amotherby,2023-12-12T12:14:00,21.69,Good
Isleham Fen,2023-12-13T08:19:00,-3.19,Good
Jevington,2023-12-13T10:30:00,60.7,Good
Hornsea,2023-12-13T12:05:00,18.96,Good
Hursley,2023-12-14T09:00:00,42.63,Good
Spoondell,2023-12-15T10:09:00,131.49,Good
Trowley Bottom Farm,2023-12-15T10:58:00,107.4,Good
Ingleby,2023-12-18T08:10:00,45.84,Good
Black Hall Farm,2023-12-18T08:14:00,106.34,Good
Slough Farm,2023-12-18T09:42:00,2.26,Good
Hungerdowns Farm,2023-12-18T10:04:00,32.84,Good
Pipe Green,2023-12-18T10:56:00,81.12,Good
Frome,2023-12-18T11:55:00,56.69,Good
Upavaon Shallow,2023-12-18T11:57:00,91.1,Good
Sherburn Quarry 3,2023-12-19T11:00:00,17.568,Good
North Stoke,2023-12-19T11:23:00,10.848,Good
Woore,2023-12-19T12:33:00,136.285,Good
Lydeards Hill,2023-12-19T13:06:00,326.78,Good
Winchester Guildhall,2023-12-20T08:20:00,33.89,Good
Whitworth Hall,2023-12-20T08:59:00,55.29,Good
Thames Head,2023-12-20T09:00:00,101.63,Good
Cundall Sandstone,2023-12-20T12:00:00,16.86,Good
Challenge Farm,2023-12-20T15:00:00,69.17,Good
Itteringham 2,2023-12-21T08:16:00,30.52,Good
Old Hall,2023-12-21T09:25:00,39.86,Good
Kemps Drift,2023-12-21T10:55:00,11.461,Good
Blowing Stone Cottage,2023-12-21T12:30:00,119.46,Good
Sproxton,2023-12-21T13:17:00,49.17,Good
West Cowick,2023-12-27T11:26:00,6.071,Good
Crudwell,2023-12-28T10:14:00,92.96,Good
Myddlewood,2023-12-29T09:50:00,61.2,Good
Rats Pen Lane Chalk,2024-01-02T07:55:00,8.09,Good
Wested Farm,2024-01-02T08:49:00,43.85,Good
Old Mill Farm T,2024-01-02T09:22:00,13.91,Good
Old Mill Farm B,2024-01-02T09:25:00,13.057,Good
Tollgate,2024-01-02T10:33:00,10.84,Good
Main Road Croxton,2024-01-02T10:39:00,15.01,Good
Mill Road,2024-01-02T11:51:00,18.61,Good
Hursley,2024-01-04T09:00:00,44.53,Good
East Leake,2024-01-04T09:16:00,29.73,Good
Hyde Cottages Risby,2024-01-04T09:54:00,29.16,Good
Plucks Gutter,2024-01-04T10:35:00,1.59,Good
Lynstead,2024-01-05T08:23:00,18.553,Good
Spoondell,2024-01-05T08:48:00,134.48,Good
Walcot,2024-01-05T09:28:00,20.84,Good
Grange Farm West Wratting,2024-01-08T09:28:00,66.05,Good
Pickworth,2024-01-08T12:37:00,37.12,Good
Sproxton,2024-01-08T15:39:00,50.612,Good
Water Acre,2024-01-09T12:59:00,144.593,Good
Sutton Top Field Spinney,2024-01-09T15:15:00,18.31,Good
Sutton Heath Road,2024-01-09T15:15:00,19.32,Good
Ponyfield,2024-01-10T08:57:00,-2.74,Good
Trowley Bottom Farm,2024-01-10T09:32:00,108.43,Good
Thames Head,2024-01-15T08:14:00,101.4,Good
Itteringham 2,2024-01-16T12:06:00,30.59,Good
Blowing Stone Cottage,2024-01-17T08:54:00,122.03,Good
Ingleby,2024-01-17T10:05:00,45.83,Good
Slough Farm,2024-01-17T11:41:00,2.77,Good
Hungerdowns Farm,2024-01-17T12:07:00,33.69,Good
Crudwell,2024-01-17T12:13:00,93.15,Good
Old Hall,2024-01-17T13:13:00,40.15,Good
Pipe Green,2024-01-17T13:18:00,81.45,Good
Upavaon Shallow,2024-01-18T09:20:00,90.92,Good
Upavon Deep,2024-01-18T09:25:00,91.47,Good
Frome,2024-01-18T10:59:00,56.65,Good
North Stoke,2024-01-18T11:16:00,7.918,Good
Wrelton Paddock,2024-01-18T13:44:00,34.67,Good
Lydeards Hill,2024-01-19T11:34:00,326.13,Good
Hornsea,2024-01-19T12:40:00,17.68,Good
Black Hall Farm,2024-01-22T09:21:00,106.65,Good
Hambleton,2024-01-22T12:48:00,5.54,Good
Sherburn Quarry 3,2024-01-22T14:27:00,17.388,Good
West Cowick,2024-01-23T10:04:00,5.861,Good
Kemps Drift,2024-01-24T10:28:00,11.5,Good
Amotherby,2024-01-24T13:29:00,20.9,Good
Myddlewood,2024-01-25T10:25:00,61.06,Good
Marlston Farm,2024-01-26T14:14:00,71.42,Good
Winchester Guildhall,2024-01-29T07:12:00,35.7,Good
Whitworth Hall,2024-01-31T13:38:00,55.88,Good
East Leake,2024-02-01T07:33:00,28.69,Good
Tollgate,2024-02-01T08:06:00,11.01,Good
Ponyfield,2024-02-01T08:46:00,-2.64,Good
Grange Farm West Wratting,2024-02-01T09:11:00,66.09,Good
Old Mill Farm B,2024-02-01T09:36:00,12.917,Good
Old Mill Farm T,2024-02-01T09:36:00,13.14,Good
Wested Farm,2024-02-01T09:58:00,43.71,Good
Lynstead,2024-02-01T11:04:00,18.973,Good
Mill Road,2024-02-01T11:09:00,18.76,Good
Plucks Gutter,2024-02-02T07:04:00,1.5,Good
Walcot,2024-02-02T08:05:00,17.62,Good
Thames Head,2024-02-02T09:47:00,101.02,Good
Main Road Croxton,2024-02-02T12:23:00,15.76,Good
Rats Pen Lane Chalk,2024-02-05T07:30:00,8.14,Good
North Stoke,2024-02-05T11:14:00,6.118,Good
Caldecote Farm,2024-02-05T12:02:00,7.655,Good
Cockley Cley Copse,2024-02-05T12:43:00,22.075,Good
Crudwell,2024-02-07T09:56:00,91.81,Good
Pickworth,2024-02-07T10:36:00,30.31,Good
Trowley Bottom Farm,2024-02-07T10:51:00,108.45,Good
Hyde Cottages Risby,2024-02-08T09:40:00,30.03,Good
Spoondell,2024-02-08T11:53:00,133.12,Good
North Plantation,2024-02-09T10:13:00,66.14,Good
Blowing Stone Cottage,2024-02-09T11:34:00,119.51,Good
Sutton Top Field Spinney,2024-02-09T16:17:00,18.32,Good
Sutton Heath Road,2024-02-09T16:18:00,19.45,Good
Amotherby,2024-02-14T10:31:00,35.56,Good
Wrelton Paddock,2024-02-15T09:57:00,35.09,Good
Rowton,2024-02-16T09:06:00,59.0,Unchecked
Itteringham 2,2024-02-16T09:33:00,30.71,Good
Wood Mill Farm,2024-02-16T10:11:00,65.0,Unchecked
Old Hall,2024-02-16T11:38:00,39.93,Good
Kemps Drift,2024-02-20T11:17:00,11.53,Good
Winchester Guildhall,2024-02-20T12:13:00,33.77,Good
Shortheath Pond,2024-02-20T12:47:00,74.301,Good
Upavon Deep,2024-02-21T12:33:00,91.47,Good
Upavaon Shallow,2024-02-21T12:34:00,91.77,Good
Lydeards Hill,2024-02-22T10:12:00,326.71,Good
West Cowick,2024-02-22T10:18:00,6.121,Good
Sherburn Quarry 3,2024-02-22T12:24:00,17.928,Good
Frome,2024-02-23T08:14:00,58.37,Good
Ingleby,2024-02-23T08:39:00,45.85,Good
Slough Farm,2024-02-23T10:39:00,3.17,Good
Hornsea,2024-02-23T11:40:00,18.95,Good
Hungerdowns Farm,2024-02-23T12:00:00,34.42,Good
Sherburn Quarry 3,2024-02-23T12:24:00,17.928,Good
Black Hall Farm,2024-02-26T07:27:00,106.33,Good
Mayhouse Farm,2024-02-26T09:06:00,37.47,Unchecked
Whitworth Hall,2024-02-26T12:10:00,55.96,Good
Woore,2024-02-27T10:32:00,136.305,Good
Pipe Green,2024-02-28T08:26:00,81.66,Good
Pipstile Farm Uphampton,2024-02-28T08:44:00,64.41,Unchecked
Myddlewood,2024-02-28T10:05:00,61.16,Good
Jevington,2024-02-29T11:00:00,64.18,Good
Grange Farm West Wratting,2024-03-01T09:55:00,67.37,Good
Main Road Croxton,2024-03-01T10:53:00,16.29,Good
Mill Road,2024-03-01T11:25:00,18.97,Good
Hyde Cottages Risby,2024-03-04T10:19:00,30.69,Good
Thames Head,2024-03-04T10:39:00,101.68,Good
Lynstead,2024-03-04T13:45:00,19.463,Good
Rats Pen Lane Chalk,2024-03-05T07:06:00,8.24,Good
East Leake,2024-03-05T12:21:00,28.88,Good
Spoondell,2024-03-06T08:23:00,136.87,Good
Tollgate,2024-03-06T10:28:00,11.6,Good
Trowley Bottom Farm,2024-03-06T10:28:00,109.83,Good
Plucks Gutter,2024-03-07T09:35:00,1.72,Good
Willow Tree Farm,2024-03-07T11:35:00,72.005,Good
North Stoke,2024-03-07T11:35:00,14.698,Good
Bow Wow,2024-03-07T13:25:00,88.541,Good
Ponyfield,2024-03-08T08:46:00,-2.24,Good
Pickworth,2024-03-08T10:23:00,33.84,Good
Isleham Fen,2024-03-11T07:59:00,-3.13,Good
Aughton Cliffs Farm,2024-03-11T08:15:00,17.01,Good
Walcot,2024-03-12T09:27:00,18.78,Good
Blowing Stone Cottage,2024-03-12T12:07:00,120.33,Good
North Plantation,2024-03-14T12:54:00,65.88,Good
